ticker,base_symbol,name,coingecko_id,market_cap_rank,market_cap,fdv,volume_24h,price_change_24h,categories,last_updated
0GUSDT,0g,0G,zero-gravity,120,976241288,4578998878,907362411,-3.35877,Artificial Intelligence (AI);Infrastructure;Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Binance Alpha Spotlight;AI Framework,2025-09-23 02:00:05
1000CATUSDT,1000cat,1000CAT,1000cat,,0.0,,4274447,-10.67298,Meme;Cat-Themed;Binance HODLer Airdrops,2025-09-23 02:00:15
1000CHEEMSUSDT,1000cheems,1000CHEMS,1000chems,,0.0,252930273710,1502515,-5.73463,Meme,2025-09-23 02:00:26
1000SATSUSDT,1000sats,1000SATS (Ordinals),1000sats-ordinals,,0.0,71275088,11795529,-12.03356,BRC-20;Inscriptions,2025-09-23 02:01:56
1INCHUSDT,1inch,1inch,1inch,249,324267575,347963070,22252383,-6.57387,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Automated Market Maker (AMM);BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;FTX Holdings;Alameda Research Portfolio;DragonFly Capital Portfolio;Pantera Capital Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI DeFi Index;Galaxy Digital Portfolio;Blockchain Capital Portfolio;Dex Aggregator;GMCI Index;Coinbase 50 Index;Governance,2025-09-23 02:02:07
1MBABYDOGEUSDT,1mbabydoge,1MBABYDOGE,1mbabydoge,,0.0,495937456534872,5743725,-8.7245,Gaming (GameFi);Meme;Dog-Themed;Solana Meme;Gaming Utility Token,2025-09-23 02:02:17
A2ZUSDT,a2z,Arena-Z,arena-z,1064,30878169,46224690,7951047,-13.49432,Gaming (GameFi);NFT;Metaverse;Ethereum Ecosystem;Binance Launchpad;Gaming Governance Token;Gaming Utility Token;Strategy Games;Andreessen Horowitz (a16z) Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Sequoia Capital Portfolio,2025-09-23 02:03:47
AAVEUSDT,aave,Aave,aave,45,4065924778,4270802471,648837200,-7.13164,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Stablecoin Issuer;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Blockchain Capital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index;Hydration Ecosystem;Governance,2025-09-23 02:03:58
ACAUSDT,aca,Acala,acala,1085,30116182,41302193,7080739,-6.71892,Smart Contract Platform;Decentralized Finance (DeFi);Polkadot Ecosystem;Layer 1 (L1);Coinbase Ventures Portfolio;Pantera Capital Portfolio,2025-09-23 02:04:08
ACEUSDT,ace,Fusionist,endurance,958,36802427,71854185,21120298,-10.27096,Gaming (GameFi);NFT;BNB Chain Ecosystem;Binance Launchpool;RPG;Strategy Games;YZi Labs (Prev. Binance Labs) Portfolio;Endurance Ecosystem,2025-09-23 02:05:55
ACHUSDT,ach,Alchemy Pay,alchemy-pay,560,89077370,180183933,39970988,-5.89936,BNB Chain Ecosystem;Ethereum Ecosystem;Payment Solutions;DWF Labs Portfolio,2025-09-23 02:06:05
ACMUSDT,acm,AC Milan Fan Token,ac-milan-fan-token,1907,8297663,16463325,5833062,-5.16388,Sports;Fan Token;Binance Launchpad;Chiliz Ecosystem,2025-09-23 02:06:31
ACTUSDT,act,Acet,acet-token,949,37375452,48761505,45313,-2.39081,BNB Chain Ecosystem,2025-09-23 02:08:17
ACXUSDT,acx,Across Protocol,across-protocol,650,69229393,113271695,9111661,-9.50552,Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Bridge Governance Tokens;Cross-chain Communication;Intent;Boba Network Ecosystem;Blockchain Capital Portfolio;Made in USA,2025-09-23 02:08:27
ADAUSDT,ada,Binance-Peg Cardano,binance-peg-cardano,,0.0,228287109,1610696,-5.53098,Crypto-Backed Tokens;BNB Chain Ecosystem;Harmony Ecosystem;Binance-Peg Tokens,2025-09-23 02:09:48
ADXUSDT,adx,Adrena,adrena,1150,26549615,26741412,35892,-6.82732,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Derivatives;Perpetuals;Solana Ecosystem,2025-09-23 02:11:34
AEURUSDT,aeur,Anchored Coins AEUR,anchored-coins-eur,,0.0,,78709,-0.08904,Stablecoins;EUR Stablecoin;BNB Chain Ecosystem;Ethereum Ecosystem,2025-09-23 02:11:45
AEVOUSDT,aevo,Aevo,aevo-exchange,520,99810262,109142654,219384233,-8.51121,Smart Contract Platform;Decentralized Finance (DeFi);Binance Launchpool;Derivatives;Perpetuals;Ethereum Ecosystem;Layer 2 (L2);DragonFly Capital Portfolio;Pantera Capital Portfolio,2025-09-23 02:11:55
AGLDUSDT,agld,Adventure Gold,adventure-gold,812,49337981,52869854,35693765,-13.54114,Ethereum Ecosystem;DWF Labs Portfolio,2025-09-23 02:13:25
AIUSDT,ai,Sleepless AI,sleepless-ai,1469,16106446,123895735,24946310,-10.90895,Artificial Intelligence (AI);BNB Chain Ecosystem;Binance Launchpool;YZi Labs (Prev. Binance Labs) Portfolio,2025-09-23 02:15:29
AIXBTUSDT,aixbt,aixbt,aixbt,525,97600321,99205762,37069518,-10.39488,Artificial Intelligence (AI);Solana Ecosystem;Meme;Ethereum Ecosystem;Base Ecosystem;AI Meme;AI Agents;Virtuals Protocol Ecosystem;Binance Alpha Spotlight;DeFAI,2025-09-23 02:15:40
ALCXUSDT,alcx,Alchemix,alchemix,1305,20923537,25991109,19732593,-4.6258,Decentralized Finance (DeFi);Yield Farming;Lending/Borrowing Protocols;Near Protocol Ecosystem;Olympus Pro Ecosystem;Ethereum Ecosystem;eGirl Capital Portfolio;Alameda Research Portfolio;Delphi Ventures Portfolio;Governance,2025-09-23 02:17:10
ALGOUSDT,algo,Algorand,algorand,80,1867298528,1867313805,154829806,-6.21521,Smart Contract Platform;Layer 1 (L1);Algorand Ecosystem;Real World Assets (RWA);Alleged SEC Securities;DWF Labs Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,2025-09-23 02:17:21
ALICEUSDT,alice,My Neighbor Alice,my-neighbor-alice,1099,29385435,31911785,26736226,-7.24069,Gaming (GameFi);NFT;BNB Chain Ecosystem;Binance Launchpool;Metaverse;DaoMaker Launchpad;Ethereum Ecosystem;Gaming Governance Token;Gaming Utility Token;Simulation Games;YZi Labs (Prev. Binance Labs) Portfolio,2025-09-23 02:18:57
ALPINEUSDT,alpine,Alpine F1 Team Fan Token,alpine-f1-team-fan-token,1255,22502523,79234237,11475011,-1.7198,Sports;BNB Chain Ecosystem;Fan Token;Binance Launchpad,2025-09-23 02:20:28
